Company Name: MARKET PURCHASE
Phone No: 9894404450


Expense Category Report
Dated: 07/09/2025 - 06/09/2026


Name,Amount
Payment In Discount,50.0
DRINKING WATER,110.0
PARKING,244.0
PHONE RECHARGE,300.0
Bank Fee and Charges,376.0
PARCEL COVER,540.0
SUPER CARRY EXPENSE,1400.0
FASH TAG,2324.0
ATHER SERVICE,2843.0
FOOD EXPENSE,3875.0
CHENNAI EXPENSE,4055.3
Transportation & Travel Expense,4183.0
VEHICLE FINE,4500.0
Raw Material,4536.0
GLASS CHARGE,5000.0
SOFTWARE UPDATION,5526.0
ADVERTISING EXPENSE,6000.0
EXTRA STAFF DUTTY,6770.0
DHOSTH INSURNCE,12800.0
STAFF SALARY OT,12900.0
ASHRAF SALARY,15000.0
Repair & Maintenance,19391.0
HONEYS RETAIL PURCHASE,29118.0
PORTING AND TRANSPORT,38970.0
PETROL AND  FUEL,70850.0
EMI FOR DHOSTH,215401.0
Employee Salaries & Advances,249459.0
Rent Expense,410000.0
