Company Name: MARKET PURCHASE
Phone No: 9894404450


Expense Transactions
Dated: 31/08/2026 - 06/09/2026


Date,Serial No.,Exp. Name,Pymt Mode,Amt.,Notes
05/09/2026,339,Rent Expense,UPI,40000.0,""
04/09/2026,338,Raw Material,UPI,500.0,""
04/09/2026,337,PETROL AND  FUEL,UPI,1000.0,""
03/09/2026,336,Raw Material,Cash,50.0,""
03/09/2026,335,PETROL AND  FUEL,Cash,1000.0,""
02/09/2026,334,ASHRAF SALARY,UPI,15000.0,""
01/09/2026,333,FOOD EXPENSE,Cash,250.0,""
01/09/2026,332,STAFF SALARY OT,Cash,1000.0,""
01/09/2026,331,Repair & Maintenance,UPI,350.0,""
01/09/2026,330,Transportation & Travel Expense,UPI,20.0,""
01/09/2026,329,ADVERTISING EXPENSE,Cash,6000.0,""
31/08/2026,328,STAFF SALARY OT,Cash,2300.0,""
31/08/2026,327,Employee Salaries & Advances,Cash,6148.0,""
31/08/2026,326,Employee Salaries & Advances,UPI,8445.0,""
31/08/2026,325,STAFF SALARY OT,UPI,1000.0,""
31/08/2026,324,Transportation & Travel Expense,UPI,50.0,""
31/08/2026,323,PETROL AND  FUEL,UPI,1000.0,""
