Company Name: MARKET PURCHASE
Phone No: 9894404450


Item Batch Report
Dated: 10/11/2023 - 06/09/2027


Item Name,Batch Number,Expiry Date,MFG Date,MRP,Purchase Price,Selling Price,Current Stock
 MINT & LIME MIJITO  MANAMA 750ML,16/05/26,"","",0.0,247.0,265.0,33.0 PCS
 MINT & LIME MIJITO  MANAMA 750ML,07/03/26,"","",0.0,255.0,270.0,0.0 PCS
 WATERMELON ,24/04/26,"","",0.0,280.0,325.0,0.0 BOX
 WATERMELON ,22/03/26,"","",0.0,250.0,280.0,0.0 BOX
 WATERMELON ,28/04/26,"","",0.0,400.0,450.0,0.0 BOX
 WATERMELON ,18/03/26,"","",0.0,270.0,300.0,0.0 BOX
 WATERMELON ,Batch #1,11/12/2031,"",0.0,275.0,300.0,0.0 BOX
 WATERMELON ,07/02/26,"","",0.0,320.0,350.0,0.0 BOX
 WATERMELON ,162.96,"","",0.0,250.0,350.0,0.0 BOX
 WATERMELON ,01/04/26,"","",0.0,250.0,300.0,0.0 BOX
 WATERMELON ,14/13/26,"","",0.0,162.96,200.0,0.0 BOX
 WATERMELON ,25/01/26,"","",0.0,330.0,380.0,0.0 BOX
 WATERMELON ,22/04/26,"","",0.0,275.0,325.0,0.0 BOX
 WATERMELON ,30/01/26,"","",0.0,330.0,380.0,0.0 BOX
 WATERMELON ,02/01/26,"","",0.0,650.0,700.0,0.0 BOX
 WATERMELON ,05/01/26,"","",0.0,500.0,550.0,0.0 BOX
 WATERMELON ,02/04/26,"","",0.0,275.0,300.0,0.0 BOX
 WATERMELON ,3/1/26,"","",0.0,475.0,525.0,0.0 BOX
 WATERMELON ,batch#2,"","",0.0,450.0,500.0,0.0 BOX
 WATERMELON ,20/02/26,"","",0.0,300.0,330.0,0.0 BOX
 WATERMELON ,15/01/26,"","",0.0,400.0,450.0,0.0 BOX
 WATERMELON ,04/01/26,"","",0.0,550.0,600.0,0.0 BOX
 WATERMELON ,27/04/26,"","",0.0,350.0,375.0,0.0 BOX
 WATERMELON ,27/12/25,"","",0.0,450.0,480.0,0.0 BOX
 WATERMELON ,22/01/26,"","",0.0,380.0,420.0,0.0 BOX
ALFAHAM / BBQ MARINADE,Batch #1,"","",0.0,375.0,430.0,4.0 PCS
ALFREDO PASTA SAUCE MIX,Batch #1,"","",0.0,245.0,287.0,1.0 PCS
ALUMINIUM FOIL,01/06/26,"","",0.0,170.0,185.0,0.0 PCS
ALUMINIUM FOIL,Batch #1,16/12/2032,"",0.0,165.0,180.0,17.0 PCS
ALUMINIUM FOIL,16/03/26,"","",0.0,470.0,550.0,0.0 PCS
ALUMINIUM FOIL,27/03/26,"","",0.0,490.0,550.0,0.0 PCS
ALUMINIUM FOIL,02/01/26,"","",0.0,160.0,180.0,0.0 PCS
APPLE KG,25/08/26,"","",0.0,120.0,130.0,0.0 KGS
APPLE KG,08/04/26,"","",0.0,85.0,95.0,0.0 KGS
APPLE KG,0000,"","",0.0,68.75,75.0,0.0 KGS
APPLE KG,29/07/26,"","",0.0,100.0,110.0,0.0 KGS
APPLE KG,16/04/26,"","",0.0,110.0,120.0,0.0 KGS
APPLE KG,10/1/26,"","",0.0,50.0,60.0,0.0 KGS
APPLE KG,08/05/26,"","",0.0,1300.0,1350.0,0.0 KGS
APPLE KG,15/01/26,"","",0.0,65.0,75.0,0.0 KGS
APPLE KG,25/03/26,"","",0.0,17.65,25.0,0.0 KGS
APPLE KG,16/01/26,"","",0.0,70.0,75.0,0.0 KGS
APPLE KG,05/04/26,"","",0.0,70.0,90.0,0.0 KGS
APPLE KG,23/01/26,"","",0.0,80.0,85.0,0.0 KGS
APPLE KG,14/12/2025,"","",0.0,60.0,70.0,0.0 KGS
APPLE KG,08/03/26,"","",0.0,70.0,80.0,0.0 KGS
APPLE KG,Batch #1,18/12/2031,"",0.0,55.0,65.0,0.0 KGS
APPLE KG,01/04/26,"","",0.0,80.0,90.0,0.0 KGS
APPLE KG,31/05/26,"","",0.0,1400.0,1500.0,0.0 KGS
APPLE KG,20/04/26,"","",0.0,1500.0,1600.0,0.0 KGS
APPLE KG,24/01/26,"","",0.0,70.0,85.0,0.0 KGS
APPLE KG,13/06/26,"","",0.0,130.0,140.0,0.0 KGS
APPLE KG,26/01/26.,"","",0.0,100.0,110.0,0.0 KGS
APPLE KG,26/01/26,"","",0.0,110.0,120.0,0.0 KGS
APPLE KG,13/04/26,"","",0.0,55.0,70.0,0.0 KGS
APPLE KG,14/06/26,"","",0.0,90.0,100.0,0.0 KGS
APPLE KG,02/01/26,"","",0.0,75.0,85.0,0.0 KGS
APPLE KG,30/04/26,"","",0.0,1600.0,1700.0,0.0 KGS
ARRABIATA SAUCE MIX KG,Batch #1,"","",0.0,268.0,310.0,5.0 PCS
BABY CORN  ,21/06/26,"","",0.0,30.0,35.0,0.0 PCS
BABY CORN  ,Batch #1,26/12/2031,"",0.0,25.0,30.0,0.0 PCS
BADAM IND,07/08/26,"","",0.0,960.0,1000.0,0.0 KGS
BADAM IND,Batch #1,"","",0.0,680.0,800.0,0.0 KGS
BADAM IND,15/08/26,"","",0.0,960.0,1010.0,10.0 KGS
BADAM IND,19/06/26,"","",0.0,860.0,910.0,2.0 KGS
BADAM IND,24/01/26,"","",0.0,780.0,910.0,-0.7 KGS
BADAM IND,12/02/26,"","",0.0,910.0,950.0,0.0 KGS
