Company Name: MARKET PURCHASE
Phone No: 9894404450


Item Summary Report
Dated: 07/09/2025 - 06/09/2026
Total Sales Quantity: 58782.3
Total Purchase Quantity: 60652.45


Item Name,Unit,Sales Quantity,Purchase Quantity
PINEAPPLE ,KGS,6836.0,6836.0
ICECREAM POWDER CHOCOLATE,PCS,3090.0,3118.0
STROW 8MM,PCS,2470.0,2495.0
ONION 1KG,KGS,2446.0,2450.0
MANGO FRUITS,PCS,2295.0,2295.0
PAPPAYA,KGS,2038.0,2038.0
APPLE KG,KGS,1921.2,1928.2
CABBAGE,KGS,1801.0,1801.0
POMEGRANATE,KGS,1629.5,1630.0
 WATERMELON ,BOX,1554.0,1550.0
PASTA,KGS,1417.0,1467.0
LEMON ,KGS,1277.5,1279.5
ICE CREAM POWDER VANILA,PCS,1234.0,1281.0
FRENCH FRIES 6MM,PCS,1187.0,1184.0
VMB MAIDA,PCS,1082.0,1162.0
CUCUMBER,KGS,878.0,878.0
ICECREAM POWDER BUTTERSCOTCH ,PCS,867.0,881.0
ICECREAM POWDER BLACKCURRANT,PCS,812.0,860.0
FIG GREEN,PKT,769.0,769.0
CAPCICUM,KGS,750.5,750.5
ICE CREAM POWDER STRABERRY,PCS,743.0,790.0
STROW 6MM,PCS,699.0,668.0
PAPER CUP 250ML,PCS,597.0,996.0
MUSKMELON,PCS,544.0,545.0
GARBAGE BAG JUMBO,PCS,523.0,551.0
MAYONNAISE CUP,PCS,476.0,446.0
CHICKEN MOMOS ,PKT,471.0,474.0
POTATO 1KG,KGS,450.0,450.0
GRAPE BOX,PCS,449.0,449.0
DATES CUTTING,KGS,443.0,456.0
PORI AVAL ,PCS,429.0,325.0
CARROT,KGS,424.0,424.0
ALUMINIUM FOIL,PCS,417.0,427.0
PAPER PLATE NO 6,PCS,404.0,414.0
ICE CREAM POWDER PISTA,PCS,397.0,425.0
PAPER PLATE NO 7,PCS,383.0,413.0
"PIZZA ,PASTA SAUCE",PCS,358.0,381.0
TORTILLA WRAP,PCS,352.0,369.0
MAYONNAISE POWDER ,PKT,351.0,395.0
KIT KAT 10/-,BOX,347.0,390.0
ICECREAM POWDER KULFI,PCS,346.0,375.0
ROSE MIX 100 ML,PCS,346.0,390.0
MUSAMBI,PKT,333.0,332.0
BLUE CURACAO MANAMA MOJITO 750ML,PCS,333.0,342.0
PARCEL COVER 7*9,PCS,329.0,329.0
BRU COFEE MAALA,PCS,326.0,392.0
BIO COVER 10*14,PCS,315.0,349.0
PALM OIL ,BOX,283.0,286.0
PULP TENDER COCONUT 500G,PCS,282.0,250.0
PERI PERI SPRINKLER ,PCS,281.0,314.0
ICE CREAM POWDER BLUEBERRY,PCS,259.0,270.0
BOOST MAALA,PCS,252.0,290.0
GO SANDWICH CHEES,PCS,219.0,228.0
SUGAR 50KG,PKT,217.0,218.0
 MINT & LIME MIJITO  MANAMA 750ML,PCS,206.0,188.0
